0.239375	0.130714	-0.555565	1.71401	-3.68011	-1.9661	0.9	0.794939	3.1	0.863309	122
0.399506	0.136433	-0.172393	3.37577	-3.64497	-0.269208	0.9	0.571899	0.92	0.54	122
0.439539	0.136433	-0.178112	5.36186	-3.47336	1.8885	0.87	0.617651	0.88	0.509259	122
0.450977	0.130714	-0.223863	4.35696	-0.767375	3.58959	0.72	0.674841	0.7	0.525424	122
0.508167	0.165028	-0.166674	6.53261	-2.70126	3.83135	0.8	0.674841	0.84	0.491525	122
0.645423	0.136433	-0.195269	7.41498	-3.59996	3.81501	0.88	0.840691	0.79	0.394558	122
0.628266	0.15359	-0.269615	6.90681	-4.88266	2.02415	0.94	0.897881	0.89	0.471338	122
0.559638	0.130714	-0.275334	4.8676	-4.60568	0.261918	0.93	0.834972	0.88	0.486301	122
0.508167	0.0906809	-0.286772	5.67068	-9.1213	-3.45061	0.98	0.794939	1.08	0.47482	122
0.439539	0.107838	-0.315367	5.43049	-9.81251	-4.38203	0.98	0.754906	1.04	0.560606	122
0.348035	0.010615	-0.275334	2.90352	-9.35907	-6.45555	0.94	0.62337	0.95	0.458716	122
0.410944	0.0906809	-0.281053	4.09389	-6.91866	-2.82477	0.96	0.691998	0.88	0.53719	122
0.450977	0.119276	-0.258177	4.22053	-4.75112	-0.530594	0.94	0.709155	0.88	0.532258	122
0.502448	0.0906809	-0.246739	4.79161	-3.823	0.968603	0.86	0.749187	0.93	0.450382	122
0.456696	0.0963999	-0.229582	4.97869	-0.923392	4.05529	0.82	0.686279	0.74	0.475	122
0.571076	0.15359	-0.229582	5.74096	-4.62695	1.11401	0.82	0.800658	0.98	0.478571	122
0.736927	0.233656	-0.252458	9.30224	-5.79202	3.51022	0.98	0.989385	0.89	0.491329	122
0.782678	0.227937	-0.303929	9.36597	-10.4751	-1.10916	1	1.08661	1.1	0.489474	122
0.656861	0.142152	-0.309648	8.21481	-7.92767	0.287138	0.92	0.966509	0.92	0.467456	122
0.633985	0.136433	-0.303929	7.24995	-11.7341	-4.48414	0.95	0.937914	0.94	0.469512	122
0.742646	0.15359	-0.332524	8.54244	-11.949	-3.40655	0.98	1.07517	0.99	0.452128	122
0.696894	0.130714	-0.332524	8.77527	-8.30105	0.474218	0.98	1.02942	0.94	0.45	122
0.531043	0.0620859	-0.332524	5.23032	-8.53709	-3.30677	0.88	0.863567	0.85	0.456954	122
0.588233	0.107838	-0.321086	5.54651	-9.09106	-3.54454	0.84	0.909319	0.92	0.471698	122
0.622547	0.124995	-0.309648	7.20337	-9.39741	-2.19404	0.84	0.932195	0.83	0.466258	122
0.565357	0.0563669	-0.389714	6.63065	-7.07628	-0.445633	0.8	0.955071	0.79	0.467066	122
0.536762	0.016334	-0.315367	4.33898	-2.27793	2.06105	0.73	0.852129	0.57	0.389262	122
0.656861	0.136433	-0.269615	6.2671	-3.19712	3.06998	0.72	0.926476	0.84	0.438272	122
0.765521	0.193623	-0.281053	9.80469	-5.01008	4.79461	0.84	1.04657	0.82	0.453552	122
0.788397	0.227937	-0.326805	9.89702	-12.4277	-2.53068	1.1	1.1152	0.97	0.497436	122
0.639704	0.176466	-0.41259	9.23769	-16.2456	-7.00795	1.09	1.05229	1.3	0.559783	122
0.553919	0.0563669	-0.361119	7.33244	-11.7553	-4.42288	1.1	0.915038	0.95	0.45625	122
0.416663	0.050648	-0.3554	3.93293	-13.824	-9.8911	1.06	0.772063	1.18	0.525926	122
0.353754	0.00489605	-0.292491	3.72623	-11.2929	-7.56672	1.05	0.646246	1.03	0.460177	122
0.31944	0.016334	-0.281053	2.41168	-6.36799	-3.95631	1.02	0.600494	0.89	0.495238	122
0.382349	0.102119	-0.246739	4.29813	-4.9587	-0.660569	1.01	0.629089	1.07	0.554545	122
0.456696	0.15359	-0.206707	5.07184	-4.83127	0.240563	0.98	0.663403	1.04	0.543103	122
0.616828	0.233656	-0.212426	7.3006	-3.06736	4.23324	0.98	0.829253	0.97	0.537931	122
0.668299	0.256532	-0.212426	7.13639	-0.901464	6.23493	0.88	0.880724	0.91	0.532468	122
0.696894	0.233656	-0.18955	8.41008	-1.49784	6.91224	0.96	0.886443	0.85	0.477419	122
0.879901	0.302283	-0.246739	11.1895	-7.10912	4.08039	1.07	1.12664	1.18	0.48731	122
0.742646	0.170747	-0.315367	8.22218	-6.68826	1.53392	0.98	1.05801	0.88	0.459459	122
0.502448	0.0563669	-0.326805	4.94437	-11.7439	-6.79951	1	0.829253	1.06	0.462069	122
